"Nom";"ReductionVitesse";"PourcentPasse";"PasseMl";"CalageExtraH";"PrixMilleClics";"NbCouleurHP";"Site";"Press";"Cle"
"3 Couleurs+2 Blancs";"0.6";"0.1";"15";"0.42";"9.79";"10";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+2 Blancs"
"3 Couleurs+2 Blancs+1 Silver";"0.67";"0.1";"15";"0.42";"16.33";"12";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+2 Blancs+1 Silver"
"3 Couleurs+2 Blancs+2 Silvers";"0.71";"0.1";"15";"0.42";"20.99";"14";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+2 Blancs+2 Silvers"
"3 Couleurs+2 Blancs+3 Silvers";"0.75";"0.1";"15";"0.42";"24.49";"16";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+2 Blancs+3 Silvers"
"3 Couleurs+2 Blancs+4 Silvers";"0.78";"0.1";"15";"0.42";"27.21";"18";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+2 Blancs+4 Silvers"
"3 Couleurs+3 Silvers";"0.67";"0.1";"15";"0.42";"28.75";"12";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+3 Silvers"
"3 Couleurs+4 Silvers";"0.71";"0.1";"15";"0.42";"31.64";"14";"AELI";"HP6000 Offline";"AELI - 3 Couleurs+4 Silvers"
"3 Silvers";"0.33";"0.1";"15";"0.42";"48.99";"6";"AELI";"HP6000 Offline";"AELI - 3 Silvers"
"4 Couleurs+1 Silver";"0.6";"0.1";"15";"0.42";"16.61";"10";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+1 Silver"
"4 Couleurs";"0.5";"0.1";"15";"0.42";"8.52";"8";"AELI";"HP6000 Offline";"AELI - 4 Couleurs"
"4 Couleurs+1 Blanc";"0.6";"0.1";"15";"0.42";"9.15";"10";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+1 Blanc"
"4 Couleurs+1 Blanc+1 Silver";"0.67";"0.1";"15";"0.42";"15.79";"12";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+1 Blanc+1 Silver"
"4 Couleurs+1 Blanc+2 Silvers";"0.71";"0.1";"15";"0.42";"20.53";"14";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+1 Blanc+2 Silvers"
"4 Couleurs+1 Blanc+3 Silvers";"0.75";"0.1";"15";"0.42";"24.09";"16";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+1 Blanc+3 Silvers"
"4 Couleurs+1 Blanc+4 Silvers";"0.78";"0.1";"15";"0.42";"26.86";"18";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+1 Blanc+4 Silvers"
"4 Couleurs+2 Silvers";"0.67";"0.1";"15";"0.42";"22.01";"12";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+2 Silvers"
"4 Couleurs+2 Blancs";"0.67";"0.1";"15";"0.42";"9.58";"12";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+2 Blancs"
"4 Couleurs+2 Blancs+1 Silver";"0.71";"0.1";"15";"0.42";"15.21";"14";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+2 Blancs+1 Silver"
"4 Couleurs+2 Blancs+2 Silvers";"0.75";"0.1";"15";"0.42";"19.43";"16";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+2 Blancs+2 Silvers"
"4 Couleurs+2 Blancs+3 Silvers";"0.78";"0.1";"15";"0.42";"22.72";"18";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+2 Blancs+3 Silvers"
"4 Couleurs+2 Blancs+4 Silvers";"0.8";"0.1";"15";"0.42";"25.34";"20";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+2 Blancs+4 Silvers"
"4 Couleurs+3 Silvers";"0.71";"0.1";"15";"0.42";"25.86";"14";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+3 Silvers"
"4 Couleurs+4 Silvers";"0.75";"0.1";"15";"0.42";"28.75";"16";"AELI";"HP6000 Offline";"AELI - 4 Couleurs+4 Silvers"
"4 Silvers";"0.5";"0.1";"15";"0.42";"48.99";"8";"AELI";"HP6000 Offline";"AELI - 4 Silvers"
"5 Couleurs+1 Silver";"0.67";"0.1";"15";"0.42";"15.26";"12";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+1 Silver"
"5 Couleurs";"0.6";"0.1";"15";"0.42";"8.52";"10";"AELI";"HP6000 Offline";"AELI - 5 Couleurs"
"5 Couleurs+1 Blanc";"0.67";"0.1";"15";"0.42";"9.05";"12";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+1 Blanc"
"5 Couleurs+1 Blanc+1 Silver";"0.71";"0.1";"15";"0.42";"14.75";"14";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+1 Blanc+1 Silver"
"5 Couleurs+1 Blanc+2 Silvers";"0.75";"0.1";"15";"0.42";"19.03";"16";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+1 Blanc+2 Silvers"
"5 Couleurs+1 Blanc+3 Silvers";"0.78";"0.1";"15";"0.42";"22.36";"18";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+1 Blanc+3 Silvers"
"5 Couleurs+1 Blanc+4 Silvers";"0.8";"0.1";"15";"0.42";"25.02";"20";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+1 Blanc+4 Silvers"
"5 Couleurs+2 Silvers";"0.71";"0.1";"15";"0.42";"20.08";"14";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+2 Silvers"
"5 Couleurs+2 Blancs";"0.71";"0.1";"15";"0.42";"9.43";"14";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+2 Blancs"
"5 Couleurs+2 Blancs+1 Silver";"0.75";"0.1";"15";"0.42";"14.37";"16";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+2 Blancs+1 Silver"
"5 Couleurs+2 Blancs+2 Silvers";"0.78";"0.1";"15";"0.42";"18.22";"18";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+2 Blancs+2 Silvers"
"5 Couleurs+2 Blancs+3 Silvers";"0.8";"0.1";"15";"0.42";"21.3";"20";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+2 Blancs+3 Silvers"
"5 Couleurs+3 Silvers";"0.75";"0.1";"15";"0.42";"23.69";"16";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+3 Silvers"
"5 Couleurs+4 Silvers";"0.78";"0.1";"15";"0.42";"26.5";"18";"AELI";"HP6000 Offline";"AELI - 5 Couleurs+4 Silvers"
"6 Couleurs+1 Silver";"0.71";"0.1";"15";"0.42";"14.3";"14";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+1 Silver"
"6 Couleurs";"0.67";"0.1";"15";"0.42";"8.52";"12";"AELI";"HP6000 Offline";"AELI - 6 Couleurs"
"6 Couleurs+1 Blanc";"0.71";"0.1";"15";"0.42";"8.97";"14";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+1 Blanc"
"6 Couleurs+1 Blanc+1 Silver";"0.75";"0.1";"15";"0.42";"13.97";"16";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+1 Blanc+1 Silver"
"6 Couleurs+1 Blanc+2 Silvers";"0.78";"0.1";"15";"0.42";"17.86";"18";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+1 Blanc+2 Silvers"
"6 Couleurs+1 Blanc+3 Silvers";"0.8";"0.1";"15";"0.42";"20.98";"20";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+1 Blanc+3 Silvers"
"6 Couleurs+2 Silvers";"0.75";"0.1";"15";"0.42";"18.63";"16";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+2 Silvers"
"6 Couleurs+2 Blancs";"0.75";"0.1";"15";"0.42";"9.31";"16";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+2 Blancs"
"6 Couleurs+2 Blancs+1 Silver";"0.78";"0.1";"15";"0.42";"13.72";"18";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+2 Blancs+1 Silver"
"6 Couleurs+2 Blancs+2 Silvers";"0.8";"0.1";"15";"0.42";"17.25";"20";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+2 Blancs+2 Silvers"
"6 Couleurs+3 Silvers";"0.78";"0.1";"15";"0.42";"22.01";"18";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+3 Silvers"
"6 Couleurs+4 Silvers";"0.8";"0.1";"15";"0.42";"24.7";"20";"AELI";"HP6000 Offline";"AELI - 6 Couleurs+4 Silvers"
"7 Couleurs+1 Silver";"0.75";"0.1";"15";"0.42";"13.57";"16";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+1 Silver"
"7 Couleurs";"0.71";"0.1";"15";"0.42";"8.52";"14";"AELI";"HP6000 Offline";"AELI - 7 Couleurs"
"7 Couleurs+1 Blanc";"0.75";"0.1";"15";"0.42";"8.91";"16";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+1 Blanc"
"7 Couleurs+1 Blanc+1 Silver";"0.78";"0.1";"15";"0.42";"13.37";"18";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+1 Blanc+1 Silver"
"7 Couleurs+1 Blanc+2 Silvers";"0.8";"0.1";"15";"0.42";"16.93";"20";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+1 Blanc+2 Silvers"
"7 Couleurs+2 Silvers";"0.78";"0.1";"15";"0.42";"17.51";"18";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+2 Silvers"
"7 Couleurs+2 Blancs";"0.78";"0.1";"15";"0.42";"9.23";"18";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+2 Blancs"
"7 Couleurs+2 Blancs+1 Silver";"0.8";"0.1";"15";"0.42";"13.2";"20";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+2 Blancs+1 Silver"
"7 Couleurs+3 Silvers";"0.8";"0.1";"15";"0.42";"20.66";"20";"AELI";"HP6000 Offline";"AELI - 7 Couleurs+3 Silvers"
"8 Couleurs+1 Silver";"0.78";"0.1";"15";"0.42";"13.01";"18";"AELI";"HP6000 Offline";"AELI - 8 Couleurs+1 Silver"
"8 Couleurs";"0.75";"0.1";"15";"0.42";"8.52";"16";"AELI";"HP6000 Offline";"AELI - 8 Couleurs"
"8 Couleurs+1 Blanc";"0.78";"0.1";"15";"0.42";"8.87";"18";"AELI";"HP6000 Offline";"AELI - 8 Couleurs+1 Blanc"
"8 Couleurs+1 Blanc+1 Silver";"0.8";"0.1";"15";"0.42";"12.88";"20";"AELI";"HP6000 Offline";"AELI - 8 Couleurs+1 Blanc+1 Silver"
"8 Couleurs+2 Silvers";"0.8";"0.1";"15";"0.42";"16.61";"20";"AELI";"HP6000 Offline";"AELI - 8 Couleurs+2 Silvers"
"8 Couleurs+2 Blancs";"0.8";"0.1";"15";"0.42";"9.15";"20";"AELI";"HP6000 Offline";"AELI - 8 Couleurs+2 Blancs"
"9 Couleurs";"0.78";"0.1";"15";"0.42";"8.52";"18";"AELI";"HP6000 Offline";"AELI - 9 Couleurs"
"9 Couleurs+2 Blancs";"0.82";"0.1";"15";"0.42";"9.1";"22";"AELI";"HP6000 Offline";"AELI - 9 Couleurs+2 Blancs"
"9 Couleurs+1 Blanc";"0.8";"0.1";"15";"0.42";"8.83";"20";"AELI";"HP6000 Offline";"AELI - 9 Couleurs+1 Blanc"
"Noir";"0";"0.1";"15";"0.42";"8.52";"2";"AESU";"HP6000 Offline";"AESU - Noir"
"Noir+1 Silver";"0";"0.1";"15";"0.42";"28.75";"4";"AESU";"HP6000 Offline";"AESU - Noir+1 Silver"
"Noir+1 Blanc";"0";"0.1";"15";"0.42";"10.11";"4";"AESU";"HP6000 Offline";"AESU - Noir+1 Blanc"
"Noir+1 Blanc+1 Silver";"0.33";"0.1";"15";"0.42";"23.07";"6";"AESU";"HP6000 Offline";"AESU - Noir+1 Blanc+1 Silver"
"Noir+1 Blanc+2 Silvers";"0.5";"0.1";"15";"0.42";"29.55";"8";"AESU";"HP6000 Offline";"AESU - Noir+1 Blanc+2 Silvers"
"Noir+1 Blanc+3 Silvers";"0.6";"0.1";"15";"0.42";"33.44";"10";"AESU";"HP6000 Offline";"AESU - Noir+1 Blanc+3 Silvers"
"Noir+1 Blanc+4 Silvers";"0.67";"0.1";"15";"0.42";"36.03";"12";"AESU";"HP6000 Offline";"AESU - Noir+1 Blanc+4 Silvers"
"Noir+2 Silvers";"0.33";"0.1";"15";"0.42";"35.5";"6";"AESU";"HP6000 Offline";"AESU - Noir+2 Silvers"
"Noir+2 Blancs";"0.33";"0.1";"15";"0.42";"10.65";"6";"AESU";"HP6000 Offline";"AESU - Noir+2 Blancs"
"Noir+2 Blancs+1 Silver";"0.5";"0.1";"15";"0.42";"20.23";"8";"AESU";"HP6000 Offline";"AESU - Noir+2 Blancs+1 Silver"
"Noir+2 Blancs+2 Silvers";"0.6";"0.1";"15";"0.42";"25.98";"10";"AESU";"HP6000 Offline";"AESU - Noir+2 Blancs+2 Silvers"
"Noir+2 Blancs+3 Silvers";"0.67";"0.1";"15";"0.42";"29.82";"12";"AESU";"HP6000 Offline";"AESU - Noir+2 Blancs+3 Silvers"
"Noir+2 Blancs+4 Silvers";"0.71";"0.1";"15";"0.42";"32.55";"14";"AESU";"HP6000 Offline";"AESU - Noir+2 Blancs+4 Silvers"
"Noir+3 Silvers";"0.5";"0.1";"15";"0.42";"38.87";"8";"AESU";"HP6000 Offline";"AESU - Noir+3 Silvers"
"Noir+4 Silvers";"0.6";"0.1";"15";"0.42";"40.89";"10";"AESU";"HP6000 Offline";"AESU - Noir+4 Silvers"
"1 Silver";"0";"0.1";"15";"0.42";"48.99";"2";"AESU";"HP6000 Offline";"AESU - 1 Silver"
"1 Blanc+1 Silver";"0";"0.1";"15";"0.42";"30.35";"4";"AESU";"HP6000 Offline";"AESU - 1 Blanc+1 Silver"
"1 Blanc+2 Silvers";"0.33";"0.1";"15";"0.42";"36.56";"6";"AESU";"HP6000 Offline";"AESU - 1 Blanc+2 Silvers"
"1 Blanc+3 Silvers";"0.5";"0.1";"15";"0.42";"39.67";"8";"AESU";"HP6000 Offline";"AESU - 1 Blanc+3 Silvers"
"1 Blanc+4 Silvers";"0.6";"0.1";"15";"0.42";"41.53";"10";"AESU";"HP6000 Offline";"AESU - 1 Blanc+4 Silvers"
"2 Couleurs";"0";"0.1";"15";"0.42";"8.52";"4";"AESU";"HP6000 Offline";"AESU - 2 Couleurs"
"2 Couleurs+1 Silver";"0.33";"0.1";"15";"0.42";"22.01";"6";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+1 Silver"
"2 Couleurs+1 Blanc";"0.33";"0.1";"15";"0.42";"9.58";"6";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+1 Blanc"
"2 Couleurs+1 Blanc+1 Silver";"0.5";"0.1";"15";"0.42";"19.43";"8";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+1 Blanc+1 Silver"
"2 Couleurs+1 Blanc+2 Silvers";"0.6";"0.1";"15";"0.42";"25.34";"10";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+1 Blanc+2 Silvers"
"2 Couleurs+1 Blanc+3 Silvers";"0.67";"0.1";"15";"0.42";"29.28";"12";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+1 Blanc+3 Silvers"
"2 Couleurs+1 Blanc+4 Silvers";"0.71";"0.1";"15";"0.42";"32.1";"14";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+1 Blanc+4 Silvers"
"2 Couleurs+2 Silvers";"0.5";"0.1";"15";"0.42";"28.75";"8";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+2 Silvers"
"2 Couleurs+2 Blancs";"0.5";"0.1";"15";"0.42";"10.11";"8";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+2 Blancs"
"2 Couleurs+2 Blancs+1 Silver";"0.6";"0.1";"15";"0.42";"17.89";"10";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+2 Blancs+1 Silver"
"2 Couleurs+2 Blancs+2 Silvers";"0.67";"0.1";"15";"0.42";"23.07";"12";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+2 Blancs+2 Silvers"
"2 Couleurs+2 Blancs+3 Silvers";"0.71";"0.1";"15";"0.42";"26.77";"14";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+2 Blancs+3 Silvers"
"2 Couleurs+2 Blancs+4 Silvers";"0.75";"0.1";"15";"0.42";"29.55";"16";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+2 Blancs+4 Silvers"
"2 Couleurs+3 Silvers";"0.6";"0.1";"15";"0.42";"32.8";"10";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+3 Silvers"
"2 Couleurs+4 Silvers";"0.67";"0.1";"15";"0.42";"35.5";"12";"AESU";"HP6000 Offline";"AESU - 2 Couleurs+4 Silvers"
"2 Silvers";"0";"0.1";"15";"0.42";"48.99";"4";"AESU";"HP6000 Offline";"AESU - 2 Silvers"
"2 Blancs";"0";"0.1";"15";"0.42";"11.71";"4";"AESU";"HP6000 Offline";"AESU - 2 Blancs"
"2 Blancs+1 Silver";"0.33";"0.1";"15";"0.42";"24.14";"6";"AESU";"HP6000 Offline";"AESU - 2 Blancs+1 Silver"
"2 Blancs+2 Silvers";"0.5";"0.1";"15";"0.42";"30.35";"8";"AESU";"HP6000 Offline";"AESU - 2 Blancs+2 Silvers"
"2 Blancs+3 Silvers";"0.6";"0.1";"15";"0.42";"34.08";"10";"AESU";"HP6000 Offline";"AESU - 2 Blancs+3 Silvers"
"2 Blancs+4 Silvers";"0.67";"0.1";"15";"0.42";"36.56";"12";"AESU";"HP6000 Offline";"AESU - 2 Blancs+4 Silvers"
"3 Couleurs+1 Silver";"0.5";"0.1";"15";"0.42";"18.63";"8";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+1 Silver"
"3 Couleurs";"0.33";"0.1";"15";"0.42";"8.52";"6";"AESU";"HP6000 Offline";"AESU - 3 Couleurs"
"3 Couleurs+1 Blanc";"0.5";"0.1";"15";"0.42";"9.31";"8";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+1 Blanc"
"3 Couleurs+1 Blanc+1 Silver";"0.6";"0.1";"15";"0.42";"17.25";"10";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+1 Blanc+1 Silver"
"3 Couleurs+1 Blanc+2 Silvers";"0.67";"0.1";"15";"0.42";"22.54";"12";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+1 Blanc+2 Silvers"
"3 Couleurs+1 Blanc+3 Silvers";"0.71";"0.1";"15";"0.42";"26.32";"14";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+1 Blanc+3 Silvers"
"3 Couleurs+1 Blanc+4 Silvers";"0.75";"0.1";"15";"0.42";"29.15";"16";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+1 Blanc+4 Silvers"
"3 Couleurs+2 Silvers";"0.6";"0.1";"15";"0.42";"24.7";"10";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+2 Silvers"
"3 Couleurs+2 Blancs";"0.6";"0.1";"15";"0.42";"9.79";"10";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+2 Blancs"
"3 Couleurs+2 Blancs+1 Silver";"0.67";"0.1";"15";"0.42";"16.33";"12";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+2 Blancs+1 Silver"
"3 Couleurs+2 Blancs+2 Silvers";"0.71";"0.1";"15";"0.42";"20.99";"14";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+2 Blancs+2 Silvers"
"3 Couleurs+2 Blancs+3 Silvers";"0.75";"0.1";"15";"0.42";"24.49";"16";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+2 Blancs+3 Silvers"
"3 Couleurs+2 Blancs+4 Silvers";"0.78";"0.1";"15";"0.42";"27.21";"18";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+2 Blancs+4 Silvers"
"3 Couleurs+3 Silvers";"0.67";"0.1";"15";"0.42";"28.75";"12";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+3 Silvers"
"3 Couleurs+4 Silvers";"0.71";"0.1";"15";"0.42";"31.64";"14";"AESU";"HP6000 Offline";"AESU - 3 Couleurs+4 Silvers"
"3 Silvers";"0.33";"0.1";"15";"0.42";"48.99";"6";"AESU";"HP6000 Offline";"AESU - 3 Silvers"
"4 Couleurs+1 Silver";"0.6";"0.1";"15";"0.42";"16.61";"10";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+1 Silver"
"4 Couleurs";"0.5";"0.1";"15";"0.42";"8.52";"8";"AESU";"HP6000 Offline";"AESU - 4 Couleurs"
"4 Couleurs+1 Blanc";"0.6";"0.1";"15";"0.42";"9.15";"10";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+1 Blanc"
"4 Couleurs+1 Blanc+1 Silver";"0.67";"0.1";"15";"0.42";"15.79";"12";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+1 Blanc+1 Silver"
"4 Couleurs+1 Blanc+2 Silvers";"0.71";"0.1";"15";"0.42";"20.53";"14";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+1 Blanc+2 Silvers"
"4 Couleurs+1 Blanc+3 Silvers";"0.75";"0.1";"15";"0.42";"24.09";"16";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+1 Blanc+3 Silvers"
"4 Couleurs+1 Blanc+4 Silvers";"0.78";"0.1";"15";"0.42";"26.86";"18";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+1 Blanc+4 Silvers"
"4 Couleurs+2 Silvers";"0.67";"0.1";"15";"0.42";"22.01";"12";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+2 Silvers"
"4 Couleurs+2 Blancs";"0.67";"0.1";"15";"0.42";"9.58";"12";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+2 Blancs"
"4 Couleurs+2 Blancs+1 Silver";"0.71";"0.1";"15";"0.42";"15.21";"14";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+2 Blancs+1 Silver"
"4 Couleurs+2 Blancs+2 Silvers";"0.75";"0.1";"15";"0.42";"19.43";"16";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+2 Blancs+2 Silvers"
"4 Couleurs+2 Blancs+3 Silvers";"0.78";"0.1";"15";"0.42";"22.72";"18";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+2 Blancs+3 Silvers"
"4 Couleurs+2 Blancs+4 Silvers";"0.8";"0.1";"15";"0.42";"25.34";"20";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+2 Blancs+4 Silvers"
"4 Couleurs+3 Silvers";"0.71";"0.1";"15";"0.42";"25.86";"14";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+3 Silvers"
"4 Couleurs+4 Silvers";"0.75";"0.1";"15";"0.42";"28.75";"16";"AESU";"HP6000 Offline";"AESU - 4 Couleurs+4 Silvers"
"4 Silvers";"0.5";"0.1";"15";"0.42";"48.99";"8";"AESU";"HP6000 Offline";"AESU - 4 Silvers"
"5 Couleurs+1 Silver";"0.67";"0.1";"15";"0.42";"15.26";"12";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+1 Silver"
"5 Couleurs";"0.6";"0.1";"15";"0.42";"8.52";"10";"AESU";"HP6000 Offline";"AESU - 5 Couleurs"
"5 Couleurs+1 Blanc";"0.67";"0.1";"15";"0.42";"9.05";"12";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+1 Blanc"
"5 Couleurs+1 Blanc+1 Silver";"0.71";"0.1";"15";"0.42";"14.75";"14";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+1 Blanc+1 Silver"
"5 Couleurs+1 Blanc+2 Silvers";"0.75";"0.1";"15";"0.42";"19.03";"16";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+1 Blanc+2 Silvers"
"5 Couleurs+1 Blanc+3 Silvers";"0.78";"0.1";"15";"0.42";"22.36";"18";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+1 Blanc+3 Silvers"
"5 Couleurs+1 Blanc+4 Silvers";"0.8";"0.1";"15";"0.42";"25.02";"20";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+1 Blanc+4 Silvers"
"5 Couleurs+2 Silvers";"0.71";"0.1";"15";"0.42";"20.08";"14";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+2 Silvers"
"5 Couleurs+2 Blancs";"0.71";"0.1";"15";"0.42";"9.43";"14";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+2 Blancs"
"5 Couleurs+2 Blancs+1 Silver";"0.75";"0.1";"15";"0.42";"14.37";"16";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+2 Blancs+1 Silver"
"5 Couleurs+2 Blancs+2 Silvers";"0.78";"0.1";"15";"0.42";"18.22";"18";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+2 Blancs+2 Silvers"
"5 Couleurs+2 Blancs+3 Silvers";"0.8";"0.1";"15";"0.42";"21.3";"20";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+2 Blancs+3 Silvers"
"5 Couleurs+3 Silvers";"0.75";"0.1";"15";"0.42";"23.69";"16";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+3 Silvers"
"5 Couleurs+4 Silvers";"0.78";"0.1";"15";"0.42";"26.5";"18";"AESU";"HP6000 Offline";"AESU - 5 Couleurs+4 Silvers"
"6 Couleurs+1 Silver";"0.71";"0.1";"15";"0.42";"14.3";"14";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+1 Silver"
"6 Couleurs";"0.67";"0.1";"15";"0.42";"8.52";"12";"AESU";"HP6000 Offline";"AESU - 6 Couleurs"
"6 Couleurs+1 Blanc";"0.71";"0.1";"15";"0.42";"8.97";"14";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+1 Blanc"
"6 Couleurs+1 Blanc+1 Silver";"0.75";"0.1";"15";"0.42";"13.97";"16";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+1 Blanc+1 Silver"
"6 Couleurs+1 Blanc+2 Silvers";"0.78";"0.1";"15";"0.42";"17.86";"18";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+1 Blanc+2 Silvers"
"6 Couleurs+1 Blanc+3 Silvers";"0.8";"0.1";"15";"0.42";"20.98";"20";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+1 Blanc+3 Silvers"
"6 Couleurs+2 Silvers";"0.75";"0.1";"15";"0.42";"18.63";"16";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+2 Silvers"
"6 Couleurs+2 Blancs";"0.75";"0.1";"15";"0.42";"9.31";"16";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+2 Blancs"
"6 Couleurs+2 Blancs+1 Silver";"0.78";"0.1";"15";"0.42";"13.72";"18";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+2 Blancs+1 Silver"
"6 Couleurs+2 Blancs+2 Silvers";"0.8";"0.1";"15";"0.42";"17.25";"20";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+2 Blancs+2 Silvers"
"6 Couleurs+3 Silvers";"0.78";"0.1";"15";"0.42";"22.01";"18";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+3 Silvers"
"6 Couleurs+4 Silvers";"0.8";"0.1";"15";"0.42";"24.7";"20";"AESU";"HP6000 Offline";"AESU - 6 Couleurs+4 Silvers"
"7 Couleurs+1 Silver";"0.75";"0.1";"15";"0.42";"13.57";"16";"AESU";"HP6000 Offline";"AESU - 7 Couleurs+1 Silver"
"7 Couleurs";"0.71";"0.1";"15";"0.42";"8.52";"14";"AESU";"HP6000 Offline";"AESU - 7 Couleurs"
"7 Couleurs+1 Blanc";"0.75";"0.1";"15";"0.42";"8.91";"16";"AESU";"HP6000 Offline";"AESU - 7 Couleurs+1 Blanc"
